Name,Description,Node1,Node2,Mode,True Length,Max Speed (mph),Intermediate Points{y,x}
"SeaSanOnefre","","Sea","SanOnefre",SEA,93.40504306,65
"5Point 1SanOnefre","","5Point 1","SanOnefre",HIGHWAY,2.6,80
"SanOnefre5Point 3","","SanOnefre","5Point 3",CROSS_COUNTRY,4.9,80
"5Point 35Point 4","","5Point 3","5Point 4",HIGHWAY,4.8,80
"5Point 45Point 5","","5Point 4","5Point 5",HIGHWAY,6.8,80
"5Point 55Point 6","","5Point 5","5Point 6",HIGHWAY,5.9,80
"5Point 65Point 7","","5Point 6","5Point 7",HIGHWAY,2.3,80
"5Point 75Intersect5-76","","5Point 7","5Intersect5-76",HIGHWAY,4.2,80
"5Intersect5-765Intersect5-78","","5Intersect5-76","5Intersect5-78",HIGHWAY,2.4,80
"5Intersect5-7878Point 1","","5Intersect5-78","78Point 1",HIGHWAY,4.2,80
"78Point 178Point 2","","78Point 1","78Point 2",HIGHWAY,2.8,80
"78Point 278Point 3","","78Point 2","78Point 3",HIGHWAY,4.5,80
"78Point 378Point 4","","78Point 3","78Point 4",HIGHWAY,3.6,80
"78Point 478Point 5","","78Point 4","78Point 5",HIGHWAY,3.8,80
"78Point 578Point 6","","78Point 5","78Point 6",HIGHWAY,4.5,80
"78Point 678Intersect78-15","","78Point 6","78Intersect78-15",HIGHWAY,4.1,80
"76Point 176Point 2","","76Point 1","76Point 2",HIGHWAY,4.9,80
"76Point 276Point 3","","76Point 2","76Point 3",HIGHWAY,5.1,80
"76Point 376Point 4","","76Point 3","76Point 4",HIGHWAY,3.2,80
"76Point 476Point 5","","76Point 4","76Point 5",HIGHWAY,4,80
"76Point 576Point 6","","76Point 5","76Point 6",HIGHWAY,4.6,80
"78Intersect78-1515Point 1","","78Intersect78-15","15Point 1",HIGHWAY,18.9,80
"15Point 115Point 2","","15Point 1","15Point 2",HIGHWAY,8.4,80
"15Point 215Point 3","","15Point 2","15Point 3",HIGHWAY,4.9,80
"15Point 315Intersect15-76","","15Point 3","15Intersect15-76",HIGHWAY,6.8,80
"PS_29_12","","PS_29_1","PS_29_2",HIGHWAY,12.6,65
"PS_29_23","narrow roads","PS_29_2","PS_29_3",CROSS_COUNTRY,18.94094042,25,34.03287737,-116.5971555,34.07209769,-116.5469228,34.09871147,-116.5017134
"PS_29_34","","PS_29_3","PS_29_4",HIGHWAY,33.1,55,34.13653106,-116.366085,34.13372961,-116.2354799
"A_PS_29_12","","PS_29_1","A_PS_29_2",HIGHWAY,34.6,55,33.84938233,-116.476597,33.82557,-116.4297131,33.77934605,-116.3577128,33.74853009,-116.275666,33.73172139,-116.2589218,33.73592356,-116.2187356
"A_PS_29_23","","A_PS_29_2","A_PS_29_3",HIGHWAY,69.4,55,33.67698952,-116.1158592,33.64931464,-116.0125182,33.63673516,-115.8443358,33.64428285,-115.6650089,33.64512148,-115.6214435,33.66944183,-115.5181026
"A_PS_29_34","off road","A_PS_29_3","A_PS_29_4",CROSS_COUNTRY,59,25,33.74240286,-115.4542743,33.78685039,-115.4948002,33.82626612,-115.5525496,33.87155228,-115.5738256,33.92187023,-115.6670351,33.96883366,-115.7288371,34.05605144,-115.8017837,34.06464743,-115.8316715
"A_PS_29_45","","A_PS_29_4","PS_29_4",HIGHWAY,20.5,55,34.09190299,-115.9190554,34.1128688,-115.9329862,34.10553076,-115.9963079
"Atk_12","","PS_29_4","Atk_2",CROSS_COUNTRY,33.84927182,15,34.24285685,-116.1242176,34.28688506,-116.212868
"Atk_23","","Atk_2","Atk_3",CROSS_COUNTRY,45,15,34.50402765,-116.4844681
"Atk_34","","Atk_3","Atk_4",CROSS_COUNTRY,38.96884646,15,34.70942555,-116.7951556
"FrmSOSanOne","","FrmSO","SanOnefre",CROSS_COUNTRY,48,45,33.47365915,-117.2470995,33.40647522,-117.4067866
"5Intersect5-7676Point 1","","5Intersect5-76","76Point 1",HIGHWAY,5.1,80
"76Point 615Intersect15-76","","76Point 6","15Intersect15-76",HIGHWAY,5.1,80
"15Intersect15-76FrmSO","","15Intersect15-76","FrmSO",HIGHWAY,25.7,80,33.36573483,-117.1526431,33.38652985,-117.1711435,33.4465155,-117.1321954,33.49370421,-117.1429061
"Sea5Point 5","","Sea","5Point 5",SEA,93.40504306,65
"Sea5Intersect5-76","","Sea","5Intersect5-76",SEA,93.40504306,65
"5Point 515-76","","5Point 5","15-76",CROSS_COUNTRY,48,40
"15-7615Intersect15-76","","15-76","15Intersect15-76",HIGHWAY,7.71,65,33.3681342511826,-117.149113471036
"15-76FrmSO","","15-76","FrmSO",HIGHWAY,17.99,65,33.4601122441596,-117.127205188273
