Name,Description,Latitude,Longitude,Domain
Andong,,36.5646,128.7229,LAND
Pohang,,36.0174,129.3443,SHORE
Busan,,35.177,129.072,SHORE
Daegu,,35.8577401914824,128.588325574394,LAND
55-a,,36.61684876816,128.547739222377,LAND
55-b,,36.5699498187388,128.62620616961,LAND
55-c,,36.5001467312282,128.60050148,LAND
55-d,,36.4379783564141,128.614030264005,LAND
55-e,,36.3659939224188,128.563973763184,LAND
55-f,,36.2907374686965,128.569385276786,LAND
55-g,,36.2383851530635,128.551797857579,LAND
55-h,,36.1783981247341,128.546386343977,LAND
55-j,,36.1249551358588,128.53015180317,LAND
55-k,,36.0453359891671,128.523387411167,LAND
55-l,,35.9766235748988,128.535563316772,LAND
55-m,,35.8860976957835,128.519328775965,LAND
55-n,,35.8642842309365,128.677615548832,LAND
55-o,,35.7999345096376,128.708731752046,LAND
55-p,,35.7170433432188,128.724966292852,LAND
55-q,,35.6417868894965,128.737142198458,LAND
55-r,,35.5774371681976,128.756082496066,LAND
55-s,,35.4618258045082,128.761494009668,LAND
55-t,,35.3865693507859,128.808844753688,LAND
55-u,,35.3440330943341,128.891370336123,LAND
55-v,,35.2731393335811,128.97795455376,LAND
55-10,,35.2087896122823,128.967131526555,LAND
Gimhae,,35.2207870179482,128.880547308918,LAND
Changwon,,35.2131523052517,128.666792521628,LAND
1-a,,35.8653749041788,128.803433240086,LAND
1-b,,35.9091474211765,128.944199570887,LAND
1-c,,35.8828256760565,129.003659243371,LAND
1-d,,35.7803023912753,129.16735752984,LAND
1-e,,35.5610770695623,129.122712542621,LAND
Yangsan,,35.3244009759717,129.028011054581,LAND
Ulsan port,,35.5327195652612,129.339173086713,SHORE
35-a,,36.5295949087718,128.796668848083,LAND
35-b,,36.4347063366871,128.888664579322,LAND
35-c,,36.2874654489694,128.898134728126,LAND
gyeongbuk,,36.2362038065788,128.738495076858,LAND
35-d,,36.02352252432,128.895428971325,LAND
North of Pohang,,36.1903955304,129.364877776324,SHORE
20-a,,36.04206396944,129.244471598673,LAND
20-b,,36.0322479102588,129.064538771397,LAND
sea base 1,,36.4011508862373,129.864108813578,SEA
sea base 2,,36.3131739551638,129.884411543813,SEA
sea lane a,,36.2681625020565,129.734678908333,SEA
sea lane b,,36.1474499687232,129.582408431573,SEA
sea lane c,,36.0083236591186,129.432675796093,SEA
sea lane d,,36.1945073969717,129.468205574003,SEA
sea lane east Ulsan,,35.4395425698531,129.430137954814,SEA
Yeongcheon,,35.9569373143025,128.908508102033,LAND
